lat,lon,alt,roll,pitch,yaw,vn,ve,vf,vl,vu,ax,ay,az,af,al,au,wx,wy,wz,wf,wl,wu,pos_accuracy,vel_accuracy,navstat,numsats,posmode,velmode,orimode,time
38.861942333,121.662509969,0.0,-0.07190756518216639,-0.046949356878647465,3.1269318878730408,-0.16760462581301794,-2.640290058283396,1.305,0.102,-0.141,0.005219637184490935,0.04870693005580574,0.07752069211821758,0.005219637184490935,0.04870693005580574,0.07752069211821758,0.0322,-0.03,0.0318,0.0322,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.02599999999984,83.02599999999984
38.861942256,121.662508463,0.0,-0.06928957130417489,-0.048869219055841226,3.129898947601431,-0.042310695238902525,-0.6470920240609689,1.305,0.102,-0.141,0.00020555039444732667,0.040342192611091794,0.030177079930447243,0.00020555039444732667,0.040342192611091794,0.030177079930447243,0.0215,-0.0,0.0235,0.0215,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.1269999999995,83.1269999999995
38.861942176,121.662506957,0.0,-0.06824237375297829,-0.04782202150464463,3.1316442768534256,-0.08791877508784939,-1.294184066040336,1.305,0.102,-0.141,-0.003123610311548627,0.02522730938601526,-0.010931985950691305,-0.003123610311548627,0.02522730938601526,-0.010931985950691305,0.0005,0.02,0.0111,0.0005,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.22699999999986,83.22699999999986
38.861942095,121.662505452,0.0,-0.06911503837897545,-0.045029494701453704,3.1321678756290234,-0.08990807397793053,-1.3062579711421392,1.305,0.102,-0.141,-0.004551839882056586,0.008131395359981633,-0.036756326511622375,-0.004551839882056586,0.008131395359981633,-0.036756326511622375,-0.0191,0.04,0.0051,-0.0191,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.32700000000023,83.32700000000023
38.861942385,121.662504689,0.0,-0.0752236907609556,-0.03665191429188092,3.1316442768534256,0.32194351932076987,-0.6622389570971232,1.133,0.031,-0.172,-0.8614094228501599,-0.3568229099448672,-0.211870163590139,-0.8614094228501599,-0.3568229099448672,-0.211870163590139,-0.0336,0.04,-0.0032,-0.0336,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.52800000000025,83.52800000000025
38.861942368,121.662503395,0.0,-0.07801621756414652,-0.03246312408709453,3.130771612227428,-0.009383857187996633,-0.5587666275205643,1.133,0.031,-0.172,-0.006951786824363733,-0.010898492156886206,-0.04849673928843904,-0.006951786824363733,-0.010898492156886206,-0.04849673928843904,-0.02,0.04,-0.0077,-0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.6289999999999,83.6289999999999
38.861942352,121.662502088,0.0,-0.07888888219014369,-0.027925268031909273,3.1297244146762315,-0.017575548067009564,-1.123172475933342,1.133,0.031,-0.172,-0.007584895773285643,-0.00932770982399332,-0.052487317927685,-0.007584895773285643,-0.00932770982399332,-0.052487317927685,0.0022,0.05,-0.0058,0.0022,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.72899999999936,83.72899999999936
38.861942337,121.662500782,0.0,-0.07749261878854824,-0.02303834612632515,3.129026282975434,-0.01664117651122709,-1.1335362540926792,1.133,0.031,-0.172,-0.008239570752050469,-0.001226706851744511,-0.05540954791439901,-0.008239570752050469,-0.001226706851744511,-0.05540954791439901,0.0268,0.05,-0.0005,0.0268,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.82899999999972,83.82899999999972
38.861942305,121.662498142,0.0,-0.06806784082777885,-0.010471975511965976,3.1295498817510325,-0.03550231841634018,-2.2913749660792377,1.133,0.031,-0.172,-0.010418945738860336,0.015769797386231264,-0.0687769809414983,-0.010418945738860336,0.015769797386231264,-0.0687769809414983,0.0663,0.07,0.012,0.0663,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.03099999999995,84.03099999999995
38.861942288,121.662496836,0.0,-0.0603883921190038,-0.0033161255787892262,3.1304225463770297,-0.009337309449835761,-0.5611565605045546,1.133,0.031,-0.172,-0.012303739188946554,0.02799797669887432,-0.07804362212799516,-0.012303739188946554,0.02799797669887432,-0.07804362212799516,0.0885,0.07,0.0153,0.0885,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1309999999994,84.1309999999994
38.86194227,121.662495529,0.0,-0.050789081233034994,0.0041887902047863905,3.131469743928226,-0.01997148837997527,-1.1344042388426432,1.133,0.031,-0.172,-0.01291525795356748,0.03269961689083704,-0.08147079720509327,-0.01291525795356748,0.03269961689083704,-0.08147079720509327,0.103,0.07,0.0136,0.103,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.23099999999977,84.23099999999977
38.861942252,121.662494222,0.0,-0.039968039870670144,0.011693705988362009,3.132516941479423,-0.019971464414288494,-1.1344042158886167,1.133,0.031,-0.172,-0.012917274155653177,0.0338772981018783,-0.08128588058875506,-0.012917274155653177,0.0338772981018783,-0.08128588058875506,0.1144,0.07,0.0111,0.1144,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.33100000000013,84.33100000000013
38.861940866,121.662491646,0.0,-0.014835298641951801,0.023736477827122883,3.1335641390306197,-1.5386166486533328,-2.2358409221255844,1.094,0.102,-0.016,-0.2031040833781722,0.3797966606633889,0.7083490980502428,-0.2031040833781722,0.3797966606633889,0.7083490980502428,0.1358,0.04,0.0046,0.1358,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.53299999999945,84.53299999999945
38.861940782,121.66249039,0.0,-0.0012217304763960308,0.027052603405912107,3.133913204881018,-0.04615857313078416,-0.5396731513252218,1.094,0.102,-0.016,-0.0008749302700027524,0.006133268265937135,-0.022413625412123616,-0.0008749302700027524,0.006133268265937135,-0.022413625412123616,0.1362,0.02,0.0001,0.1362,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.63299999999981,84.63299999999981
38.861940698,121.662489127,0.0,0.012042771838760872,0.028274333882308142,3.1335641390306197,-0.09324024754617186,-1.096215376914662,1.094,0.102,-0.016,0.00016766760621191149,-0.0017643684803232262,0.00020647432464393148,0.00016766760621191149,-0.0017643684803232262,0.00020647432464393148,0.1256,-0.0,-0.0062,0.1256,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.73300000000017,84.73300000000017
38.861940616,121.662487865,0.0,0.02356194490192345,0.027052603405912107,3.132691474404622,-0.09101997195559902,-1.095347398345575,1.094,0.102,-0.016,0.0010734551332282603,-0.007237913453861692,0.02509856939819296,0.0010734551332282603,-0.007237913453861692,0.02509856939819296,0.1034,-0.02,-0.0106,0.1034,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.83399999999983,84.83399999999983
38.861940451,121.662485315,0.0,0.03735004599267865,0.019024088846738195,3.1311206780778273,-0.18133646867350658,-2.191347953428909,1.094,0.102,-0.016,0.0015171887215177132,-0.005730447570975968,0.05073544259203014,0.0015171887215177132,-0.005730447570975968,0.05073544259203014,0.0208,-0.05,0.0026,0.0208,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.03600000000006,85.03600000000006
38.86194037,121.662484053,0.0,0.03647738136668149,0.013788101090755204,3.131469743928226,-0.04450980887382033,-0.5422511819162982,1.094,0.102,-0.016,0.00043052018514174177,0.005764338890928646,0.05620735426454557,0.00043052018514174177,0.005764338890928646,0.05620735426454557,-0.0437,-0.05,0.0067,-0.0437,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.13599999999951,85.13599999999951
38.861940288,121.66248279,0.0,0.028797932657906436,0.00890117918517108,3.1321678756290234,-0.09101991259502215,-1.0962153831494128,1.094,0.102,-0.016,1.723160916585674e-05,0.007973291642170829,0.04537519052211075,1.723160916585674e-05,0.007973291642170829,0.04537519052211075,-0.1146,-0.04,0.0075,-0.1146,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.23599999999988,85.23599999999988
38.861943407,121.662478009,0.0,0.014311699866353502,0.004886921905584123,3.132516941479423,3.462531061909091,-4.149611103150728,1.094,0.102,-0.016,0.00025542325681844537,0.0022356497577577196,0.029061690974419546,0.00025542325681844537,0.0022356497577577196,0.029061690974419546,-0.1726,-0.03,0.003,-0.1726,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.33600000000024,85.33600000000024
38.861943185,121.662475416,0.0,-0.028274333882308142,0.00017453292519943296,3.1312952110030268,-0.24642654301561484,-2.2505835885255556,1.109,0.133,0.359,0.07490816862126243,0.14251087490153444,1.8510265266123416,0.07490816862126243,0.14251087490153444,1.8510265266123416,-0.2483,-0.01,-0.0173,-0.2483,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.53899999999976,85.53899999999976
38.861943078,121.662474135,0.0,-0.054105206811824215,-0.0008726646259971648,3.1292008159006337,-0.058508800477588274,-0.5477037483790083,1.109,0.133,0.359,-0.000691164483270676,0.06934720695209928,-0.022813865871487853,-0.000691164483270676,0.06934720695209928,-0.022813865871487853,-0.2704,-0.01,-0.0256,-0.2704,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.63900000000012,85.63900000000012
38.861942973,121.662472853,0.0,-0.08168140899333462,-0.0020943951023931952,3.1264082890974425,-0.1165526015287833,-1.1127065432803127,1.109,0.133,0.359,1.054541718552884e-05,0.06753536425327329,-0.024334923707393336,1.054541718552884e-05,0.06753536425327329,-0.024334923707393336,-0.277,-0.01,-0.029,-0.277,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.73899999999958,85.73899999999958
38.861942871,121.662471571,0.0,-0.1090830782496456,-0.004014257279586958,3.1239648281446506,-0.11322218694681364,-1.112706510059628,1.109,0.133,0.359,-0.0026528172620884738,0.06962771940133049,-0.0168844159448458,-0.0026528172620884738,0.06962771940133049,-0.0168844159448458,-0.2697,-0.02,-0.0229,-0.2697,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.83899999999994,85.83899999999994
38.861942669,121.662468976,0.0,-0.15952309363228173,-0.010471975511965976,3.1215213671918582,-0.22422379923622202,-2.2523192968546852,1.109,0.133,0.359,-0.008699848377867934,0.07123086928946488,0.0019428581160779012,-0.008699848377867934,0.07123086928946488,0.0019428581160779012,-0.2232,-0.04,-0.0083,-0.2232,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.04199999999946,86.04199999999946
38.86194257,121.6624677,0.0,-0.17941984710501707,-0.014486232791552934,3.1218704330422575,-0.05413389487978092,-0.5455659254016271,1.109,0.133,0.359,-0.013947417083262798,0.06753368183031794,0.018777442648386045,-0.013947417083262798,0.06753368183031794,0.018777442648386045,-0.1702,-0.04,-0.0015,-0.1702,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.14199999999983,86.14199999999983
